gene_symbol,type,soc,auroc,wt_pvalue,ttest_statistic,ttest_pvalue
CYP2C19,enzyme,General disorders and administration site conditions,0.570175438596491,0.246336344595267,5.94118376856505,1.83105596796804e-09
CYP3A7,enzyme,Vascular disorders,0.640453834115806,0.0259435617271521,14.5553012116097,4.24712465506353e-46
CYP3A7-CYP3A51P,enzyme,Vascular disorders,0.489480090419058,0.571487870574597,-4.41079236005089,0.999994693208859
CYP3A5,enzyme,Investigations,0.252136752136752,0.997252957237516,-22.5893013579706,1
CYP3A7,enzyme,Investigations,0.334134615384615,0.935753490681832,-4.71283861934163,0.999998585077383
CYP3A7-CYP3A51P,enzyme,Investigations,0.414529914529915,0.831571990485029,-7.67632436040956,0.999999999999986
CYP2C19,enzyme,Investigations,0.111111111111111,0.987196347743132,-39.0902424124776,1
CYP3A5,enzyme,Psychiatric disorders,0.383986928104575,0.989486501450142,-17.2302942339658,1
CYP2D6,enzyme,Psychiatric disorders,0.445533769063181,0.860699211167108,-7.50545549151103,0.999999999999966
CYP3A7,enzyme,Psychiatric disorders,0.502954545454545,0.484525267336826,-1.69688305126652,0.955083868592292
CYP3A7-CYP3A51P,enzyme,Psychiatric disorders,0.47050505050505,0.697009245474136,-5.95672931653939,0.999999998608456
CYP2D6,enzyme,"Respiratory, thoracic and mediastinal disorders",0.581944444444445,0.105342928927884,10.9017246435572,1.71706449750511e-27
CYP2C9,enzyme,Investigations,0.418002136752137,0.902602115164782,-15.4467549162359,1
CYP1A1,enzyme,Investigations,0.537037037037037,0.428807017088778,-2.96871415374723,0.998442962867086
CYP2E1,enzyme,Investigations,0.543595679012346,0.310727785076033,2.52738081991524,0.00579658278682495
CYP1A1,enzyme,Musculoskeletal and connective tissue disorders,0.929054054054054,0.0188587466602484,23.0819280770179,2.07987813161111e-60
CYP2E1,enzyme,Musculoskeletal and connective tissue disorders,0.48705985915493,0.57743642976553,-2.85518388957495,0.997829729279706
CYP3A7,enzyme,Renal and urinary disorders,0.451973684210526,0.691433180177666,-4.80503797350333,0.999999140196113
CYP3A7-CYP3A51P,enzyme,Renal and urinary disorders,0.544152046783626,0.290307404050002,5.10467478260447,1.82779813360043e-07
CYP2C9,enzyme,Immune system disorders,0.560084541062802,0.174441810047546,2.87532883927595,0.00203109546387758
CYP2C9,enzyme,Psychiatric disorders,0.406143707482993,0.997150011840662,-19.2443892293112,1
CYP2C8,enzyme,Investigations,0.519230769230769,0.434835778754644,2.28327080180118,0.0113015896749631
CYP3A7,enzyme,Musculoskeletal and connective tissue disorders,0.63671875,0.0968416889304578,13.9742498645739,1.54814666440517e-40
