drugA,drugB,meddra,N,type
21603718,21603929,36110116,13,negativo
21604544,21604711,36919236,23,negativo
21601431,21603924,35104877,29,negativo
21602256,21603908,35809005,23,negativo
21600083,21603967,35809243,20,negativo
21604434,21604643,36718301,10,negativo
21603312,43534853,42889536,20,negativo
21602256,21603929,42889379,20,negativo
21603131,21601390,35104883,30,negativo
21601423,21603909,35808914,78,negativo
21603448,21605129,36110715,11,negativo
21602256,21601423,35104074,22,negativo
21601390,21603761,37220014,10,negativo
21601392,21603929,37522220,20,negativo
21603967,21604348,36211492,21,negativo
21602730,21601435,36313436,17,negativo
21600448,21603312,37219907,12,negativo
21604415,21604544,36718347,11,negativo
21602338,21601390,36110874,30,negativo
21602485,21602978,35708202,29,negativo
21604436,21604566,36776613,59,negativo
21601428,21601435,36516959,16,negativo
21604418,21604436,36110597,11,negativo
21601435,21603718,35204948,14,negativo
21603718,21603929,35104883,93,negativo
21601518,21602737,35204948,12,negativo
21604115,21604566,35809054,21,negativo
21604516,21604542,35809043,22,negativo
21603081,21603131,36009901,11,negativo
21603285,21603356,36718132,17,negativo
21600493,21604714,35708154,14,negativo
21603909,21603927,35205185,13,negativo
21602096,21603896,35809327,11,negativo
21601390,21603851,36009901,12,negativo
21604559,21604711,36211496,14,negativo
21600096,21604571,36718347,16,negativo
21602734,21603927,35104243,15,negativo
21600493,21601435,36313176,11,negativo
21602096,21604857,37019318,10,negativo
21603980,21604348,36718347,14,negativo
21602485,21604590,35909452,10,negativo
21601518,21604434,42890557,11,negativo
21601423,21603929,36776531,41,negativo
21604432,21604571,35204948,12,negativo
21603362,21603497,36009783,17,negativo
21602970,21604399,36718151,10,negativo
21602256,21603911,35708093,522,negativo
21603896,21603925,42888965,54,negativo
21603749,21603795,37219897,10,negativo
21601428,21603929,35104298,13,negativo
21601394,21603718,35104868,56,negativo
21601431,21603929,36110922,11,negativo
21600083,21602730,37219907,12,negativo
21603851,21604131,37622449,11,negativo
21602732,21604436,35205345,10,negativo
21601399,21603927,42890355,20,negativo
21601466,21604745,36211492,13,negativo
21602485,21604741,36919046,18,negativo
21604348,21604571,35506628,14,negativo
21600083,21604436,36110597,20,negativo
21600449,21604436,37522220,14,negativo
21601161,21605129,35104691,17,negativo
21603967,21604431,37320212,14,negativo
21600747,21603356,35708208,10,negativo
21602732,21603896,36009816,15,negativo
21600493,21603761,37220014,15,negativo
21604559,21604563,36315381,72,negativo
21601423,21603929,36110536,11,negativo
21602102,21602737,36211462,26,negativo
21600747,21602823,35104884,11,negativo
21601394,21603749,37522220,36,negativo
21602737,21603929,35708038,29,negativo
21600096,21602256,36516812,19,negativo
21603081,21603929,37019321,11,negativo
21601161,21605129,36110597,68,negativo
21601390,21603896,36110974,18,negativo
21602737,21603909,35809327,22,negativo
21604344,21604348,35809138,11,negativo
21601394,21603718,36718132,10,negativo
21602102,21604348,35205038,13,negativo
21602732,21603917,35204948,14,negativo
21600493,21601747,35204948,12,negativo
21601399,21603925,42889498,17,negativo
21601003,21602648,35808848,10,negativo
21601399,21601428,36211181,17,negativo
21600493,21603448,35707713,13,negativo
21602102,21602737,35708642,62,negativo
21603009,21603718,35809121,10,negativo
21602485,21604711,35909445,25,negativo
21600448,21602648,36416501,39,negativo
21604393,21604433,36416500,13,negativo
21600535,21600575,35809054,17,negativo
21600732,21601518,36818729,12,negativo
21601390,21601439,37522220,12,negativo
21604051,40255958,37219820,14,negativo
21603905,21603968,36416534,28,negativo
21600816,21603911,35708093,28,negativo
21603131,21603924,35909625,17,negativo
21602732,21604393,35204948,13,negativo
21602730,21601423,36718288,10,negativo
21603908,21603921,35809146,22,negativo
21600994,21600448,35205240,12,negativo
21602102,21601428,36313371,10,negativo
21602735,21603924,37019292,10,negativo
21602096,21604857,36718265,18,negativo
21603929,21603965,35808976,10,negativo
21600575,21604115,35809139,11,negativo
21604344,21603448,36311983,39,negativo
21602102,21602737,36110227,13,negativo
21601423,21603917,35809323,14,negativo
21600395,21601789,35104884,12,negativo
21602735,21603497,35205038,10,negativo
21601435,21603929,37220014,13,negativo
21600816,21603448,37522220,10,negativo
21600493,21601390,36110597,16,negativo
21603917,21603968,35809054,11,negativo
21602730,21601435,35104103,31,negativo
21601423,21601435,36718540,10,negativo
21600747,21604544,35506636,12,negativo
21604431,21604436,36718347,15,negativo
21602734,21601423,35809243,17,negativo
21601450,21603724,36617295,18,negativo
21603980,21603448,36311983,10,negativo
21600663,21602256,35809146,24,negativo
21601419,21603718,35809207,11,negativo
21604399,21604402,37220005,14,negativo
21604344,21604348,35406310,28,negativo
21602102,21602737,35104877,146,negativo
21603285,21603356,35809139,15,negativo
21602485,21604714,36919117,14,negativo
21601518,21602732,37622529,15,negativo
21603967,21603980,36313240,32,negativo
21601390,21601435,37320212,13,negativo
21602256,21603911,37220036,42,negativo
21601423,21603929,35204924,10,negativo
21601394,21603761,37220014,14,negativo
21601129,21603929,35104074,13,negativo
21602898,21604433,35204948,12,negativo
21602256,21602735,42889379,17,negativo
21602485,21602823,36718005,12,negativo
21602734,21603925,35909505,13,negativo
21602919,1588697,35205038,16,negativo
21602646,21603896,35809327,10,negativo
21603911,21603929,35708242,12,negativo
21604344,21604433,43053854,11,negativo
21602735,21603921,35506459,46,negativo
21602096,21604857,35809310,25,negativo
21603718,21603929,36416514,16,negativo
21602485,21604577,35909452,16,negativo
21604559,21604757,36315380,17,negativo
21600663,21602735,36315486,24,negativo
21603756,21603905,36009833,21,negativo
21601431,21603738,35809327,11,negativo
21600965,21601518,35809054,18,negativo
21602730,21603777,35809054,14,negativo
21604431,21604544,36718321,33,negativo
21600484,21604344,35104877,17,negativo
21602730,21603929,35809327,28,negativo
21604344,21604348,35104874,27,negativo
21602256,21604571,36718317,12,negativo
21603080,21601423,36416600,11,negativo
21602732,21603924,36416501,17,negativo
21601390,21603929,42889495,10,negativo
21602338,21603925,42889496,12,negativo
21602732,21604399,35809327,25,negativo
21604711,21604741,35204970,11,negativo
21604344,21603448,35104883,22,negativo
21602256,21603864,35809072,16,negativo
21602102,21602730,35707713,21,negativo
21603980,21604348,36416514,15,negativo
21601423,21603748,37019321,17,negativo
21604417,21604436,35809115,18,negativo
21603009,21603607,36516837,24,negativo
21601423,21603929,35809077,42,negativo
21603009,21603607,35406391,15,negativo
21601036,21604434,35607284,10,negativo
21604562,21604762,36718321,13,negativo
21601747,21604711,36718235,11,negativo
21604571,21604677,37220005,14,negativo
21604393,21604440,35708151,10,negativo
21603732,21605269,37522220,10,negativo
21601423,21604344,35104074,11,negativo
21603917,21604571,43053854,21,negativo
21600493,21604131,36313524,26,negativo
21602338,21602732,36110922,22,negativo
21603718,21603761,36110933,11,negativo
21604543,21604544,35809139,19,negativo
21600493,21603911,36718132,15,negativo
21603392,1588697,36211462,17,negativo
21602256,21603968,36516779,18,negativo
21601390,21601399,37080784,11,negativo
