atc_concept_id,atc_concept_name,atc_concept_code,ndrugreports,atc4_concept_name,atc4_concept_code,atc3_concept_name,atc3_concept_code,atc2_concept_name,atc2_concept_code,atc1_concept_name,atc1_concept_code
21601493,chlortalidone; oral,C03BA04,10,"Sulfonamides, plain",C03BA,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03B,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601496,metolazone; oral,C03BA08,34,"Sulfonamides, plain",C03BA,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03B,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601499,indapamide; oral,C03BA11,11,"Sulfonamides, plain",C03BA,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03B,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601518,furosemide; systemic,C03CA01,3036,"Sulfonamides, plain",C03CA,HIGH-CEILING DIURETICS,C03C,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601519,bumetanide; systemic,C03CA02,86,"Sulfonamides, plain",C03CA,HIGH-CEILING DIURETICS,C03C,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601521,torasemide; systemic,C03CA04,31,"Sulfonamides, plain",C03CA,HIGH-CEILING DIURETICS,C03C,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601526,etacrynic acid; systemic,C03CC01,11,Aryloxyacetic acid derivatives,C03CC,HIGH-CEILING DIURETICS,C03C,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601534,spironolactone; oral,C03DA01,1276,Aldosterone antagonists,C03DA,POTASSIUM-SPARING AGENTS,C03D,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601537,eplerenone; oral,C03DA04,20,Aldosterone antagonists,C03DA,POTASSIUM-SPARING AGENTS,C03D,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601539,amiloride; oral,C03DB01,9,Other potassium-sparing agents,C03DB,POTASSIUM-SPARING AGENTS,C03D,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601540,triamterene; oral,C03DB02,18,Other potassium-sparing agents,C03DB,POTASSIUM-SPARING AGENTS,C03D,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601558,tolvaptan; oral,C03XA01,57,Vasopressin antagonists,C03XA,OTHER DIURETICS,C03X,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C
21601577,pentoxifylline; systemic,C04AD03,20,Purine derivatives,C04AD,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04,CARDIOVASCULAR SYSTEM,C
21601589,phenoxybenzamine; oral,C04AX02,1,Other peripheral vasodilators,C04AX,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04,CARDIOVASCULAR SYSTEM,C
21601608,"hydrocortisone; rectal, topical",C05AA01,9,Corticosteroids,C05AA,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05A,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C
21601626,"glyceryl trinitrate; rectal, topical",C05AE01,57,Muscle relaxants,C05AE,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05A,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C
21601644,polidocanol,C05BB02,4,Sclerosing agents for local injection,C05BB,ANTIVARICOSE THERAPY,C05B,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C
21601646,sodium tetradecyl sulfate,C05BB04,2,Sclerosing agents for local injection,C05BB,ANTIVARICOSE THERAPY,C05B,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C
21601669,pindolol; systemic,C07AA03,11,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601670,propranolol; systemic,C07AA05,1052,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601671,timolol; systemic,C07AA06,26,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601672,sotalol; systemic,C07AA07,13,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601673,nadolol; oral,C07AA12,111,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601684,metoprolol; systemic,C07AB02,686,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601685,atenolol; systemic,C07AB03,491,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601686,acebutolol; systemic,C07AB04,34,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601687,betaxolol; oral,C07AB05,11,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601689,bisoprolol; oral,C07AB07,200,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
21601691,esmolol; parenteral,C07AB09,11,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C
