drugbank_id,id,type,action,uniprot_id,entrez_id,gene_symbol,atc_concept_id
DB00130,BE0002242,enzyme,substrate,P47897,5859,QARS1,21600937
DB00130,BE0002244,enzyme,substrate,Q6IA69,55191,NADSYN1,21600937
DB00130,BE0000874,target,antagonist,P17812,1503,CTPS1,21600937
DB00130,BE0000374,target,substrate,Q06203,5471,PPAT,21600937
DB00130,BE0002240,target,product of,P15104,2752,GLUL,21600937
DB00134,BE0003654,transporter,inhibitor,Q8TF71,117247,SLC16A10,21605251
DB00134,BE0002240,enzyme,inhibitor,P15104,2752,GLUL,21605251
DB00134,BE0002176,enzyme,inhibitor,P42898,4524,MTHFR,21605251
DB00134,BE0000304,enzyme,substrate,P31153,4144,MAT2A,21605251
DB00134,BE0000432,enzyme,substrate,Q9Y3D2,22921,MSRB2,21605251
DB00134,BE0000407,enzyme,substrate,Q00266,4143,MAT1A,21605251
DB00134,BE0000288,enzyme,substrate,Q9NZV6,51734,MSRB1,21605251
DB00134,BE0000170,enzyme,substrate,Q9UJ68,4482,MSRA,21605251
DB00134,BE0000543,enzyme,substrate,P56192,4141,MARS1,21605251
DB00134,BE0002248,enzyme,substrate,Q96GW9,92935,MARS2,21605251
DB00134,BE0002178,enzyme,substrate,Q9NZL9,27430,MAT2B,21605251
DB00134,BE0002249,enzyme,product of,Q9H2M3,23743,BHMT2,21605251
DB00134,BE0000763,target,product of,Q9UBK8,4552,MTRR,21605251
DB00134,BE0000734,target,product of,Q99707,4548,MTR,21605251
DB00134,BE0001534,target,product of,P50579,10988,METAP2,21605251
DB00134,BE0000845,target,product of,Q93088,635,BHMT,21605251
DB00134,BE0002249,target,product of,Q9H2M3,23743,BHMT2,21605251
DB00136,BE0001141,carrier,binder,P02774,2638,GC,21602040
DB00136,BE0002250,enzyme,substrate,Q07973,1591,CYP24A1,21602040
DB00136,BE0002638,enzyme,substrate,P08684,1576,CYP3A4,21602040
DB00136,BE0000779,target,antagonist,P11473,7421,VDR,21602040
DB00140,BE0001066,transporter,inhibitor,Q4U2R8,9356,SLC22A6,21600845
DB00140,BE0002198,enzyme,cofactor,P21397,4128,MAOA,21600845
DB00140,BE0002176,enzyme,cofactor,P42898,4524,MTHFR,21600845
DB00142,BE0003654,transporter,substrate,Q8TF71,117247,SLC16A10,21600705
DB00142,BE0000669,transporter,substrate,P53985,6566,SLC16A1,21600705
DB00143,BE0000785,transporter,substrate,P33527,4363,ABCC1,21605255
DB00143,BE0001069,transporter,substrate,Q92887,1244,ABCC2,21605255
DB00143,BE0001061,transporter,substrate,O15438,8714,ABCC3,21605255
DB00143,BE0001188,transporter,substrate,O15439,10257,ABCC4,21605255
DB00143,BE0003639,transporter,substrate,O15440,10057,ABCC5,21605255
DB00143,BE0002189,enzyme,substrate,P09210,2939,GSTA2,21605255
DB00143,BE0002281,enzyme,substrate,P08263,2938,GSTA1,21605255
DB00145,BE0003654,transporter,substrate,Q8TF71,117247,SLC16A10,21601188
DB00145,BE0000536,transporter,substrate,Q7Z2H8,206358,SLC36A1,21601188
DB00145,BE0002308,transporter,substrate,Q9H598,140679,SLC32A1,21601188
DB00145,BE0002310,transporter,substrate,Q9Y345,9152,SLC6A5,21601188
DB00145,BE0000940,transporter,substrate,P48067,6536,SLC6A9,21601188
DB00146,BE0000443,enzyme,substrate,O15528,1594,CYP27B1,21600821
DB00146,BE0002250,enzyme,substrate,Q07973,1591,CYP24A1,21600821
DB00146,BE0000779,target,agonist,P11473,7421,VDR,21600821
DB00150,BE0000178,transporter,inhibitor,P36021,6567,SLC16A2,21604731
DB00150,BE0003654,transporter,inhibitor,Q8TF71,117247,SLC16A10,21604731
DB00152,BE0003647,transporter,inhibitor,O15244,6582,SLC22A2,21600825
DB00152,BE0003648,transporter,substrate,O15245,6580,SLC22A1,21600825
DB00152,BE0000106,transporter,inhibitor,O76082,6584,SLC22A5,21600825
DB00152,BE0003530,transporter,substrate,O60779,10560,SLC19A2,21600825
DB00152,BE0000963,transporter,substrate,Q9BZV2,80704,SLC19A3,21600825
DB00152,BE0004673,enzyme,inducer,P13584,1580,CYP4B1,21600825
DB00152,BE0000157,enzyme,substrate,Q9H3S4,27010,TPK1,21600825
DB00152,BE0009876,enzyme,substrate,O75356,957,ENTPD5,21600825
