triplet_id,type,max_ior,mean_ior,n_stages_significant
1818,negative,0.963997612455413,0.67480257894701,0
1819,negative,2.07480048096073,1.44532395114854,1
1820,negative,2.2629262563631,1.6164901490347,3
1821,negative,0.992468056392438,0.7202837233397,0
1822,negative,33.0871925106536,13.2021175249049,0
1823,negative,0.914995315877495,0.809591366130678,0
1824,negative,181.373070489623,28.2685051975152,2
1825,negative,0.0633416383260383,0.026612058882618,0
1826,negative,4.02819552666362,1.48024954027252,2
1827,negative,13.9064061070807,4.91870997604524,4
1828,negative,0.999977906102171,0.999975654315853,0
1829,negative,1.00002568274359,1.00001230675322,0
1830,negative,0.999994595523645,0.999982433604494,0
1831,negative,136740.207148903,19549.1288857661,1
1832,negative,9.8067533417772,3.7883732327753,2
1833,negative,1.87780323108801,1.42502556467605,0
1834,negative,1.00000324400861,1.00000037194626,0
1835,negative,1.00048056137263,1.00015310794193,0
1836,negative,0.605924838900561,0.211748317650198,0
1837,negative,1.0000136333295,1.00000599668184,0
1838,negative,4.54146494807182,2.9274653830077,5
1839,negative,0.944747777504001,0.700254621872054,0
1840,negative,8782.37431889152,1966.29081441303,3
1841,negative,26.2522910947973,14.947111424983,5
1842,negative,166.612529717335,56.8717352017926,4
1843,negative,0.979090423207983,0.796341964517563,0
1844,negative,0.329990048250422,0.256818120525738,0
1845,negative,0.639781903760678,0.494325427520448,0
1846,negative,0.388647312756064,0.359246970085109,0
1847,negative,10.5460475927221,2.19312177238568,1
1848,negative,2.60052152557548,1.60041627928197,0
1849,negative,28.6227011725477,10.0823298545357,0
1850,negative,7.07966945451895,3.43231699003952,4
1851,negative,1.14193509841438,0.859799435776402,0
1852,negative,1.40969866629819,0.704138067841867,0
1853,negative,6.352269573369,2.87311179675098,4
1854,negative,1.29313072645316,1.14200125497437,0
1855,negative,0.283615050638969,0.206082962713496,0
1856,negative,1.45926041311665,1.23312575381027,0
1857,negative,218.708801125876,34.0285419125666,1
1858,negative,1.17996350442822,0.640808683585523,0
1859,negative,9.14357040878778,1.57969092105226,1
1860,negative,1.00001122193076,1.00000504839977,0
1861,negative,11.3678427596962,2.44037635106893,2
1862,negative,10038.0912487106,1831.22233119108,5
1863,negative,8.99237857546338,4.89266409287433,7
1864,negative,0.993527208986256,0.850505546614148,0
1865,negative,0.962370887488248,0.791980346195594,0
1866,negative,1.30633899346756,1.13478609225245,0
1867,negative,1.00000353200941,0.999978126563448,0
1868,negative,0.991255331421769,0.650118385572672,0
1869,negative,6.21545854398293,2.74713142918029,4
